game_id,Date,Team,Player,Pos,MP,Opp,Off_PTS,AVG_PTS_H2H,Def_PTS,Off_AST,AVG_AST_H2H,Def_AST,Off_REB,AVG_REB_H2H,Def_REB,Off_PR,AVG_PR_H2H,Def_PR,Off_PA,AVG_PA_H2H,Def_PA,Off_RA,AVG_RA_H2H,Def_RA,Off_PRA,AVG_PRA_H2H,Def_PRA,PTS,PTS_line,PTS_Diff,PTS_Result,AST,AST_line,AST_Diff,AST_Result,REB,REB_line,REB_Diff,REB_Result,PR,PR_line,PR_Diff,PR_Result,PA,PA_line,PA_Diff,PA_Result,RA,RA_line,RA_Diff,RA_Result,PRA,PRA_line,PRA_Diff,PRA_Result,B2B
20251118_GSW_ORL,11/18/2025,ORL,Jalen Suggs,PG,31.93,GSW,12.545454545454543,,20.61111111111111,4.727272727272728,,7.5,4.0,,5.611111111111111,16.545454545454547,,26.22222222222222,17.272727272727273,,28.11111111111111,8.727272727272727,,13.11111111111111,21.27272727272728,,33.72222222222222,13,12.5,0.5,O,8,3.5,4.5,O,5,3.5,1.5,O,18,15.5,2.5,O,21,16.5,4.5,O,13,7.5,5.5,O,26,19.5,6.5,O,0.0
20251118_PHO_POR,11/18/2025,PHO,Collin Gillespie,PG,28.18,POR,10.533333333333331,7.142857142857143,22.666666666666668,5.133333333333334,1.7142857142857142,5.555555555555555,4.066666666666666,1.4285714285714286,5.222222222222222,14.6,8.571428571428571,27.88888888888889,15.666666666666666,8.857142857142858,28.22222222222222,9.2,3.142857142857143,10.77777777777778,19.73333333333333,10.285714285714286,33.44444444444444,19,,,,6,4.5,1.5,O,3,3.5,-0.5,U,22,15.5,6.5,O,25,,,,9,8.5,0.5,O,28,20.5,7.5,O,0.0
20251118_UTA_LAL,11/18/2025,LAL,Austin Reaves,SG,33.43,UTA,28.08333333333333,20.0,20.8,7.583333333333333,5.0,5.466666666666667,5.083333333333333,4.571428571428571,4.133333333333334,33.166666666666664,24.571428571428573,24.933333333333334,35.666666666666664,25.0,26.266666666666666,12.666666666666666,9.571428571428571,9.6,40.75,29.571428571428573,30.4,26,23.5,2.5,O,1,5.5,-4.5,U,5,3.5,1.5,O,31,27.5,3.5,O,27,30.5,-3.5,U,6,10.5,-4.5,U,32,34.5,-2.5,U,0.0
20251118_MEM_SAS,11/18/2025,SAS,Devin Vassell,SG,34.67,MEM,13.571428571428571,17.285714285714285,18.181818181818183,3.0,3.7142857142857135,3.4545454545454546,3.5,3.571428571428572,3.727272727272727,17.071428571428573,20.857142857142858,21.90909090909091,16.142857142857142,21.0,21.63636363636364,6.071428571428571,7.285714285714286,7.181818181818182,19.642857142857142,24.571428571428573,25.363636363636363,10,17.5,-7.5,U,5,3.5,1.5,O,3,4.5,-1.5,U,13,21.5,-8.5,U,15,21.5,-6.5,U,8,7.5,0.5,O,18,25.5,-7.5,U,0.0
20251118_MEM_SAS,11/18/2025,MEM,Cedric Coward,SG,25.5,SAS,14.333333333333334,,16.363636363636363,2.8666666666666667,,4.2727272727272725,6.4,,3.909090909090909,20.73333333333333,,20.27272727272728,17.2,,20.63636363636364,9.266666666666667,,8.181818181818182,23.6,,24.545454545454547,19,11.5,7.5,O,1,3.5,-2.5,U,11,5.5,5.5,O,30,17.5,12.5,O,20,15.5,4.5,O,12,9.5,2.5,O,31,21.5,9.5,O,0.0
20251118_BOS_BRK,11/18/2025,BOS,Anfernee Simons,SG,26.15,BRK,14.214285714285714,18.8,17.4,2.923076923076923,6.0,4.2,2.75,3.2,3.6666666666666665,16.571428571428573,22.0,21.066666666666663,15.8,24.8,21.6,4.733333333333333,9.2,7.866666666666666,18.0,28.0,25.266666666666666,11,11.5,-0.5,U,5,2.5,2.5,O,4,2.5,1.5,O,15,13.5,1.5,O,16,14.5,1.5,O,9,4.5,4.5,O,20,16.5,3.5,O,0.0
20251118_GSW_ORL,11/18/2025,ORL,Desmond Bane,SG,39.17,GSW,16.933333333333334,19.0,16.214285714285715,4.466666666666667,5.285714285714286,3.071428571428572,4.714285714285714,4.428571428571429,3.2857142857142856,21.33333333333333,23.428571428571427,19.5,21.4,24.285714285714285,19.285714285714285,8.866666666666667,9.714285714285714,6.357142857142857,25.8,28.714285714285715,22.571428571428573,23,19.5,3.5,O,5,4.5,0.5,O,6,4.5,1.5,O,29,23.5,5.5,O,28,24.5,3.5,O,11,9.5,1.5,O,34,28.5,5.5,O,0.0
20251118_UTA_LAL,11/18/2025,LAL,Marcus Smart,SG,17.15,UTA,9.75,8.0,20.8,3.8,3.1666666666666665,5.466666666666667,3.2222222222222223,2.5,4.133333333333334,12.166666666666666,10.5,24.933333333333334,12.916666666666666,11.166666666666666,26.266666666666666,6.090909090909091,5.666666666666667,9.6,15.333333333333334,13.666666666666666,30.4,5,7.5,-2.5,U,1,2.5,-1.5,U,3,1.5,1.5,O,8,10.5,-2.5,U,6,,,,4,5.5,-1.5,U,9,13.5,-4.5,U,0.0
20251118_GSW_ORL,11/18/2025,GSW,Moses Moody,SG,29.57,ORL,13.615384615384617,9.0,17.076923076923077,2.1,1.0,3.5384615384615383,3.076923076923077,2.2,3.769230769230769,15.5,11.2,20.846153846153847,15.23076923076923,10.0,20.615384615384617,4.6923076923076925,3.2,7.3076923076923075,17.0,12.2,24.384615384615383,6,11.5,-5.5,U,2,,,,4,3.5,0.5,O,10,14.5,-4.5,U,8,13.5,-5.5,U,6,4.5,1.5,O,12,16.5,-4.5,U,0.0
20251118_PHO_POR,11/18/2025,PHO,Devin Booker,SG,29.05,POR,27.8,27.11111111111111,20.166666666666668,6.866666666666666,6.0,3.8333333333333335,4.5,5.0,3.8333333333333335,32.0,32.111111111111114,24.0,34.666666666666664,33.111111111111114,24.0,11.066666666666666,11.0,7.666666666666667,38.86666666666667,38.11111111111112,27.83333333333333,19,29.5,-10.5,U,5,6.5,-1.5,U,6,3.5,2.5,O,25,33.5,-8.5,U,24,36.5,-12.5,U,11,11.5,-0.5,U,30,40.5,-10.5,U,0.0
20251118_BOS_BRK,11/18/2025,BOS,Derrick White,SG,32.78,BRK,15.933333333333334,15.714285714285714,17.4,5.333333333333333,4.142857142857143,4.2,4.0,3.7142857142857135,3.6666666666666665,19.933333333333334,19.428571428571427,21.066666666666663,21.266666666666666,19.857142857142858,21.6,9.333333333333334,7.857142857142857,7.866666666666666,25.266666666666666,23.571428571428573,25.266666666666666,15,17.5,-2.5,U,4,4.5,-0.5,U,5,4.5,0.5,O,20,21.5,-1.5,U,19,22.5,-3.5,U,9,9.5,-0.5,U,24,27.5,-3.5,U,0.0
20251118_GSW_ORL,11/18/2025,GSW,Brandin Podziemski,SG,26.52,ORL,11.5,7.4,17.076923076923077,3.357142857142857,2.4,3.5384615384615383,4.625,5.6,3.769230769230769,16.125,13.0,20.846153846153847,14.4375,9.8,20.615384615384617,7.5625,8.0,7.3076923076923075,19.0625,15.4,24.384615384615383,5,10.5,-5.5,U,0,2.5,-2.5,U,6,4.5,1.5,O,11,15.5,-4.5,U,5,14.5,-9.5,U,6,7.5,-1.5,U,11,18.5,-7.5,U,0.0
