Date,Team,Player,Pos,PTS_line,AST_line,REB_line,TPM_line,PA_line,PR_line,RA_line,PRA_line,STL_line,BLK_line,STL_BLK_line
11/21/2025,BOS,Derrick White,SG,17.5,5.5,4.5,2.5,23.5,22.5,9.5,27.5,1.5,0.5,2.5
11/21/2025,PHO,Devin Booker,SG,28.5,7.5,4.5,2.5,36.5,33.5,11.5,41.5,0.5,,
11/21/2025,PHO,Dillon Brooks,SF,18.5,,3.5,2.5,,22.5,,,0.5,,
11/21/2025,POR,Donovan Clingan,C,10.5,1.5,10.5,0.5,12.5,21.5,12.5,23.5,0.5,1.5,2.5
11/21/2025,CLE,Donovan Mitchell,SG,28.5,5.5,4.5,3.5,34.5,33.5,9.5,39.5,1.5,,
11/21/2025,MIN,Donte DiVincenzo,SG,12.5,3.5,4.5,3.5,16.5,16.5,7.5,20.5,,,
11/21/2025,BRK,Drake Powell,SG,6.5,2.5,2.5,,8.5,9.5,4.5,11.5,,,
11/21/2025,GSW,Draymond Green,PF,8.5,5.5,6.5,1.5,14.5,15.5,12.5,21.5,0.5,0.5,1.5
11/21/2025,BRK,Egor Demin,PG,8.5,3.5,2.5,1.5,12.5,11.5,7.5,15.5,,,
11/21/2025,CLE,Evan Mobley,PF,19.5,3.5,8.5,1.5,22.5,28.5,12.5,31.5,0.5,1.5,2.5
11/21/2025,TOR,Gradey Dick,SG,8.5,,,1.5,,,,,,,
11/21/2025,NOP,Herbert Jones,SF,9.5,1.5,3.5,1.5,11.5,12.5,5.5,14.5,1.5,,
11/21/2025,TOR,Immanuel Quickley,PG,17.5,6.5,4.5,2.5,24.5,22.5,11.5,29.5,,,
11/21/2025,CHI,Isaac Okoro,SG,7.5,,2.5,,,10.5,,,,,
11/21/2025,UTA,Isaiah Collier,PG,8.5,5.5,2.5,,13.5,10.5,8.5,16.5,,,
11/21/2025,OKC,Isaiah Hartenstein,C,12.5,3.5,9.5,,15.5,22.5,13.5,25.5,,0.5,
11/21/2025,IND,Isaiah Jackson,C,7.5,,6.5,,,14.5,,,,,
11/21/2025,OKC,Isaiah Joe,SG,11.5,,2.5,2.5,,14.5,,,,,
11/21/2025,HOU,Jabari Smith Jr.,PF,13.5,,6.5,1.5,,20.5,,,,,
11/21/2025,MIN,Jaden McDaniels,PF,13.5,2.5,4.5,1.5,15.5,18.5,6.5,20.5,0.5,0.5,1.5
11/21/2025,MIA,Jaime Jaquez Jr.,SF,19.5,5.5,6.5,0.5,25.5,26.5,12.5,32.5,,,
11/21/2025,TOR,Jakob Poeltl,C,14.5,2.5,10.5,,16.5,24.5,12.5,27.5,1.5,0.5,2.5
11/21/2025,CHI,Jalen Smith,C,8.5,,5.5,,,14.5,,,,,
11/21/2025,DEN,Jamal Murray,PG,21.5,5.5,3.5,2.5,28.5,25.5,9.5,31.5,1.5,,
11/21/2025,TOR,Jamal Shead,PG,6.5,5.5,1.5,1.5,11.5,8.5,7.5,14.5,,,
11/21/2025,IND,Jarace Walker,PF,8.5,,4.5,1.5,,12.5,,,,,
11/21/2025,CLE,Jarrett Allen,C,14.5,,8.5,,,22.5,,,,0.5,
11/21/2025,BOS,Jaylen Brown,SF,26.5,4.5,5.5,1.5,31.5,32.5,10.5,37.5,0.5,0.5,1.5
11/21/2025,CLE,Jaylon Tyson,SG,7.5,,3.5,1.5,,11.5,,,,,
11/21/2025,POR,Jerami Grant,PF,22.5,2.5,4.5,2.5,25.5,27.5,7.5,30.5,,,
11/21/2025,NOP,Jeremiah Fears,PG,14.5,2.5,3.5,1.5,17.5,18.5,6.5,21.5,,,
11/21/2025,GSW,Jimmy Butler,SF,20.5,5.5,6.5,0.5,26.5,27.5,11.5,32.5,1.5,0.5,1.5
11/21/2025,BOS,Jordan Walsh,PF,5.5,0.5,5.5,0.5,6.5,10.5,6.5,11.5,,,
11/21/2025,NOP,Jose Alvarado,PG,7.5,2.5,2.5,1.5,10.5,9.5,4.5,12.5,,,
11/21/2025,CHI,Josh Giddey,PG,20.5,8.5,9.5,1.5,29.5,30.5,18.5,39.5,1.5,,
11/21/2025,BOS,Josh Minott,PF,6.5,,3.5,,,10.5,,,,,
11/21/2025,MIN,Julius Randle,PF,22.5,5.5,7.5,1.5,28.5,30.5,12.5,35.5,0.5,0.5,1.5
11/21/2025,UTA,Jusuf Nurkic,C,8.5,3.5,9.5,,12.5,18.5,13.5,21.5,,,
11/21/2025,MIA,Kel'el Ware,C,11.5,,9.5,0.5,,20.5,,,,1.5,
11/21/2025,HOU,Kevin Durant,SF,26.5,3.5,4.5,2.5,29.5,30.5,8.5,34.5,0.5,0.5,1.5
11/21/2025,UTA,Keyonte George,PG,18.5,5.5,2.5,2.5,23.5,21.5,8.5,27.5,0.5,,
11/21/2025,WAS,Khris Middleton,SF,10.5,2.5,3.5,,13.5,14.5,6.5,17.5,0.5,,
11/21/2025,DAL,Klay Thompson,SF,11.5,,2.5,2.5,,14.5,,,,,
11/21/2025,POR,Kris Murray,SF,7.5,,4.5,,,12.5,,,,,
11/21/2025,WAS,Kyshawn George,SF,15.5,4.5,5.5,2.5,20.5,21.5,10.5,26.5,0.5,,
11/21/2025,UTA,Lauri Markkanen,PF,23.5,1.5,5.5,2.5,25.5,29.5,7.5,31.5,0.5,,
11/21/2025,OKC,Luguentz Dort,SF,9.5,,3.5,1.5,,13.5,,,,,
11/21/2025,BOS,Luka Garza,C,,,5.5,,,,,,,,
11/21/2025,PHO,Mark Williams,C,11.5,,8.5,,,20.5,,,,1.5,
11/21/2025,CHI,Matas Buzelis,PF,14.5,,5.5,1.5,15.5,19.5,6.5,20.5,0.5,1.5,1.5
11/21/2025,DAL,Max Christie,SG,11.5,2.5,3.5,1.5,14.5,15.5,5.5,18.5,,,
11/21/2025,BRK,Michael Porter Jr.,SF,22.5,2.5,6.5,3.5,25.5,29.5,9.5,32.5,0.5,0.5,1.5
11/21/2025,MIN,Mike Conley,PG,5.5,,,,,,,,,,
11/21/2025,GSW,Moses Moody,SG,13.5,1.5,3.5,2.5,15.5,17.5,5.5,19.5,,,
11/21/2025,DAL,Naji Marshall,SF,11.5,2.5,4.5,,14.5,15.5,6.5,18.5,,,
11/21/2025,MIN,Naz Reid,C,13.5,2.5,5.5,2.5,15.5,19.5,8.5,22.5,,,
11/21/2025,BOS,Neemias Queta,C,9.5,1.5,8.5,,11.5,18.5,10.5,20.5,,1.5,
11/21/2025,,Nicolas Claxton,,12.5,3.5,7.5,,16.5,20.5,11.5,24.5,0.5,1.5,2.5
11/21/2025,DEN,Nikola Jokic,C,27.5,9.5,12.5,1.5,38.5,40.5,22.5,50.5,1.5,0.5,2.5
11/21/2025,CHI,Nikola Vucevic,C,17.5,3.5,10.5,1.5,20.5,27.5,13.5,31.5,0.5,0.5,1.5
11/21/2025,BRK,Noah Clowney,PF,11.5,1.5,3.5,1.5,12.5,15.5,5.5,17.5,,,
11/21/2025,MIA,Norman Powell,SG,25.5,2.5,3.5,3.5,28.5,29.5,5.5,31.5,1.5,,
11/21/2025,DAL,P.J. Washington,PF,16.5,2.5,7.5,1.5,19.5,23.5,9.5,26.5,0.5,0.5,1.5
11/21/2025,IND,Pascal Siakam,PF,23.5,3.5,6.5,1.5,27.5,29.5,10.5,33.5,1.5,0.5,1.5
11/21/2025,BOS,Payton Pritchard,PG,17.5,4.5,4.5,3.5,22.5,21.5,9.5,26.5,0.5,,
11/21/2025,MIA,Pelle Larsson,SG,12.5,3.5,3.5,1.5,15.5,16.5,7.5,19.5,,,
11/21/2025,DEN,Peyton Watson,SF,9.5,,4.5,,,14.5,,,,,
11/21/2025,TOR,RJ Barrett,SF,19.5,3.5,5.5,1.5,23.5,25.5,9.5,29.5,0.5,,
11/21/2025,HOU,Reed Sheppard,PG,12.5,,,2.5,,,,,,,
11/21/2025,PHO,Royce O'Neale,SF,10.5,2.5,4.5,2.5,13.5,15.5,7.5,18.5,,,
11/21/2025,MIN,Rudy Gobert,C,10.5,,10.5,,,21.5,,,,1.5,
11/21/2025,PHO,Ryan Dunn,SF,8.5,,4.5,1.5,,13.5,,,0.5,,
11/21/2025,NOP,Saddiq Bey,SF,8.5,1.5,3.5,1.5,9.5,11.5,4.5,13.5,,,
